Address,Price,Kind,Size,Rooms
"Rua José Leite de Carvalho, 102  Jardim Lilian, Londrina",R$ 700.000,"Casa residencial com 3 quartos à venda, 215.08 m2 por r$700000.00 - lilian - londrina/pr",215m²,3  Quartos
"Avenida Bandeirantes, 721  Vila Ipiranga, Londrina",R$ 7.000,"Imóvel comercial, oportundade para área da saúde, próximo ao hospital evangélico.",220m²,5  Salas
"Avenida Aracy Soares dos Santos, 334  Santiago, Londrina",R$ 2.500,"Comercial para locação em londrina, santiago, 1 dormitório, 1 banheiro, 5 vagas",360m²,1  Sala
"Rua Luiz Gonzaga  Conjunto Santa Rita 6, Londrina",R$ 275.000,Casa com edícula nos fundos em praia de primavera,80 a 100m²,2  Quartos
"Rua Prefeito Hugo Cabral, 696  Centro, Londrina",R$ 2.000.000,"Imóvel comercial, central.",255m²,5  Salas
"Endereço não disponível  Rodocentro, Londrina",R$ 8.500,"Barracão para alugar, 613 m² por r$ 8.500,00/mês - rodocentro - londrina/pr",613m²,1  Sala
"Rua Paraíba  Jardim Higienópolis, Londrina",R$ 280.000 Cond.: R$ 550,"Apartamento com 3 quartos à venda na rua paraíba, jardim higienópolis, londrina, 67 m2 por r$ 280.000",67m²,3  Quartos
"Avenida Madre Leônia Milito, 1500  Bela Suiça, Londrina",R$ 2.390 Cond.: R$ 400,Sala para alugar de 49m² no ed atsushi yoshii tower,49m²,1  Banheiro
"Avenida Gil de Abreu Souza, 1501  Esperança, Londrina",R$ 9.900.000,Casa a venda - condominio royal park residence e resort,600m²,4  Quartos
"Endereço não disponível  Antares, Londrina",R$ 800,Aluga-se salas comerciais - avenida são joão,80m²,3  Salas
"Endereço não disponível  Jardim da Luz, Londrina",R$ 260.000,Casa/ sobrado à venda com 3 quarto(s),250m²,3  Quartos
"Rua Xapecó  Jardim Agari, Londrina",R$ 30.000,"Barracão para alugar, 2100 m² por r$ 30.000,00/mês - jardim agari - londrina/pr",2.100m²,4  Banheiros
"Rua André Buck, 641  Jardim Padovani, Londrina",R$ 1.350,Edifício loja,110m²,1  Banheiro
